URL,FB Total,Tweets,+1s,LinkedIn Shares
gizmodo,26952,821153,263923,301
bloomberg,96831,3,1023886,262
huffingtonpost,247900,88,3061227,2838
techcrunch,16114,51577,6243969,2118
forbes,39540,31244,3153086,10213
theonion,150776,0,2338262,348
espn,873058,443,7092755,1543
aljazeera,45895,850,2068120,5508
reuters,32458,346,2568837,175
afp,7398,11761,23,68
bbc,269019,9889,2860,75
foxnews,246304,508,1698537,3579
usatoday,48980,1933,1889352,146
time,53980,82350,6611438,0
engadget,23520,29,2627383,2857
